HOTEL NAME,RATING,PRICE,IMAGE SOURCE
The Grand Hotel,4.7,616,dimg11.c-ctrip.com/images/hotel/91000/90555/4782d47c10b64e138d956c85588360ab_R_130_130.jpg
U Hotel Taipei,4.5,571,dimg11.c-ctrip.com/images/2005050000000cawp7159_R_130_130.jpg
COSMOS HOTEL TAIPEI,4.5,641,dimg10.c-ctrip.com/images/fd/hotel/g4/M04/B9/BA/CggYHFZBmUSATYhbAAKyGGnwteg334_R_130_130.jpg
SAN WANT HOTEL,4.5,633,dimg13.c-ctrip.com/images/200i060000001onpc095A_R_130_130.jpg
Sheraton Grand Taipei Hotel,4.6,1080,dimg11.c-ctrip.com/images/hotel/77000/76421/630462E0-C059-4553-8221-73B0EE492538_R_130_130.jpg
Taipei Garden Hotel,4.6,753,dimg12.c-ctrip.com/images/hotel/860000/859541/8dcaf6d0ba0e4238b1e83ad6e8b610ff_R_130_130.jpg
Courtyard Taipei,4.7,1019,dimg12.c-ctrip.com/images/200r0400000007rxmE151_R_130_130.jpg
Hotel Riverview Taipei,4.3,364,dimg11.c-ctrip.com/images/fd/hotel/g1/M05/8F/20/CghzfVVStPyAX1LaAAyJGjZ2S3s067_R_130_130.jpg
Regent Taipei,4.7,1055,dimg11.c-ctrip.com/images/t1/hotel/997000/996802/04a0bfaa4f1d46bc82374801ce8cdd82_R_130_130.jpg
Mandarin Oriental Taipei,4.8,2185,dimg11.c-ctrip.com/images/hotel/977000/976513/17fdaf6bfdc64e898bfbf7f8a6093574_R_130_130.jpg
Li Han Hotel,4.5,329,dimg12.c-ctrip.com/images/200d0a0000004r5576ECB_R_130_130.jpg
CAPITAL  WAIKOLOA HOTEL,4.5,462,dimg11.c-ctrip.com/images/fd/hotel/g4/M00/D7/40/CggYHlXW8aCABI7ZAADxEZO5DCk948_R_130_130.jpg
Spring City Resort,4.4,678,dimg12.c-ctrip.com/images/fd/hotel/g6/M06/14/5C/CggYs1arIcqANZd9AAG8XriFjao483_R_130_130.jpg
MADISON TAIPEI HOTEL,4.7,1055,dimg11.c-ctrip.com/images/hotel/736000/735549/b10c02e8ed774afab1ae68a7abf75f76_R_130_130.jpg
The Westin Taipei,4.6,1309,dimg10.c-ctrip.com/images/fd/hotel/g5/M0A/95/D5/CggYsVcQX7yAHSn_AAEleYL8fqY556_R_130_130.jpg
River View Suite Taipei-New,4.5,544,dimg12.c-ctrip.com/images/fd/hotel/g1/M04/8F/F3/CghzfVVSuQSAZttfABJjpMM-EU0959_R_130_130.jpg
Newstay Inn II,4.5,279,dimg10.c-ctrip.com/images/fd/hotel/g4/M03/C4/C8/CggYHFXtH36AaV6DAADA0UWect0616_R_130_130.jpg
Green World ZhongHua,4.5,359,dimg12.c-ctrip.com/images/t1/hotel/992000/991119/f9e03adecd634124bd1603451d405ccf_R_130_130.jpg
Green World ZhongXiao,4.7,599,dimg10.c-ctrip.com/images/2009060000001hmki45B8_R_130_130.jpg
ITaipei Service Apartment,4.6,450,dimg12.c-ctrip.com/images/200v0j000000ai3l91609_R_130_130.jpg
VENDOME EAST INN,4.4,323,dimg13.c-ctrip.com/images/200p060000001il34EC28_R_130_130.jpg
Your Hotel,4.5,315,dimg11.c-ctrip.com/images/200l0g0000007qf3sE621_R_130_130.jpg
Vendome Hotel,4.4,345,dimg12.c-ctrip.com/images/fd/hotel/g6/M03/76/EF/CggYtFb8B8eAbfRmAACKbJDd6uU075_R_130_130.jpg
